Date : 2024-04-09 09:09:49
Directory : c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src
Total : 145 files,  23531 codes, 449 comments, 991 blanks, all 24971 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| frontend\src                                                                                                                                  |         83 |      5,824 |        269 |        537 |      6,630 |
| frontend\src (Files)                                                                                                                          |          3 |        156 |          4 |         11 |        171 |
| frontend\src\Pages                                                                                                                            |         27 |      3,384 |         54 |        234 |      3,672 |
| frontend\src\components                                                                                                                       |         35 |      1,884 |        120 |        251 |      2,255 |
| frontend\src\components\browsingPage                                                                                                          |          7 |        377 |         49 |         59 |        485 |
| frontend\src\components\checkIn                                                                                                               |          5 |        335 |         40 |         52 |        427 |
| frontend\src\components\csr                                                                                                                   |          1 |         13 |          0 |          2 |         15 |
| frontend\src\components\dashboard                                                                                                             |          3 |         94 |          0 |          3 |         97 |
| frontend\src\components\generalPurpose                                                                                                        |          2 |        245 |         12 |         25 |        282 |
| frontend\src\components\header                                                                                                                |          3 |         77 |          2 |         14 |         93 |
| frontend\src\components\location                                                                                                              |          1 |        109 |          1 |          7 |        117 |
| frontend\src\components\reservation                                                                                                           |         11 |        563 |         16 |         63 |        642 |
| frontend\src\components\swiper                                                                                                                |          2 |         71 |          0 |         26 |         97 |
| frontend\src\styles                                                                                                                           |          2 |         17 |          0 |          1 |         18 |
| frontend\src\utilities                                                                                                                        |         16 |        383 |         91 |         40 |        514 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\reservationTest.js                       | JavaScript     |         75 |          2 |         13 |         90 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\reviewTest.js                            | JavaScript     |         43 |          2 |         13 |         58 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\transactionTest.js                       | JavaScript     |         54 |          3 |          9 |         66 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\userTest.js                              | JavaScript     |         97 |          2 |         15 |        114 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\vehicleTest.js                           | JavaScript     |         44 |          2 |         13 |         59 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\app.js                                             | JavaScript     |         55 |         13 |         22 |         90 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\config\emailService.js                             | JavaScript     |         47 |          9 |          4 |         60 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\config\passport.js                                 | JavaScript     |         41 |          8 |          9 |         58 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\authController.js                      | JavaScript     |        146 |         16 |         19 |        181 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\branchController.js                    | JavaScript     |        212 |         21 |         41 |        274 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\issueController.js                     | JavaScript     |        107 |          0 |         20 |        127 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\reservationController.js               | JavaScript     |        185 |         18 |         22 |        225 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\reviewController.js                    | JavaScript     |         73 |          8 |         25 |        106 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\transactionsController.js              | JavaScript     |         67 |          4 |         11 |         82 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\userController.js                      | JavaScript     |        162 |          6 |         20 |        188 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\vehicleController.js                   | JavaScript     |        104 |          8 |         29 |        141 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\middlewares\branchValidation.js                    | JavaScript     |         31 |          0 |          0 |         31 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\middlewares\userValidation.js                      | JavaScript     |        190 |          6 |          4 |        200 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\branchModel.js                              | JavaScript     |         33 |          0 |          4 |         37 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\issueModel.js                               | JavaScript     |         50 |          0 |          5 |         55 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\reservationModel.js                         | JavaScript     |         49 |          0 |          6 |         55 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\reviewModel.js                              | JavaScript     |         23 |          1 |         10 |         34 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\transactionModel.js                         | JavaScript     |         41 |          0 |          3 |         44 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\userModel.js                                | JavaScript     |         36 |          0 |          3 |         39 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\vehicleModel.js                             | JavaScript     |         65 |          1 |         13 |         79 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\mongodb\mongoConnection.js                         | JavaScript     |         24 |          0 |         10 |         34 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\package-lock.json                                  | JSON           |      4,837 |          0 |          1 |      4,838 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\package.json                                       | JSON           |         33 |          0 |          1 |         34 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\assets\index-1f4CyHxp.js               | JavaScript     |         12 |         28 |          1 |         41 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\assets\index-4sK4E3Wk.css              | CSS            |          1 |          0 |          1 |          2 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\assets\react-h3aPdYU7.svg              | XML            |          1 |          0 |          0 |          1 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\index.html                             | HTML           |         14 |          0 |          1 |         15 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\vite.svg                               | XML            |          1 |          0 |          0 |          1 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\fetch.html                                  | HTML           |        116 |          1 |          6 |        123 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\index.html                                  | HTML           |         10 |          0 |          4 |         14 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\stylesheets\style.css                       | CSS            |          7 |          0 |          2 |          9 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\authRoute.js                                | JavaScript     |         12 |          1 |          5 |         18 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\branchRoute.js                              | JavaScript     |         13 |          1 |          1 |         15 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\index.js                                    | JavaScript     |         18 |          0 |          3 |         21 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\issueRoute.js                               | JavaScript     |         10 |          0 |          3 |         13 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\reservationsRoute.js                        | JavaScript     |         15 |          6 |          9 |         30 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\reviewRoute.js                              | JavaScript     |         10 |          2 |         14 |         26 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\transactionsRoute.js                        | JavaScript     |          9 |          0 |          4 |         13 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\usersRoute.js                               | JavaScript     |         12 |          6 |          7 |         25 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\vehiclesRoute.js                            | JavaScript     |         12 |          3 |         14 |         29 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\checkAddressValidity.js                      | JavaScript     |         19 |          0 |          3 |         22 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\getGeocodeFromAddress.js                     | JavaScript     |         19 |          0 |          1 |         20 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\reservationDataTest.js                       | JavaScript     |         14 |          0 |          2 |         16 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\reviewDataTest.js                            | JavaScript     |          8 |          0 |          1 |          9 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\transactionDataTest.js                       | JavaScript     |         12 |          0 |          1 |         13 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\userDataTest.js                              | JavaScript     |         27 |          0 |          2 |         29 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\vehicleDataTest.js                           | JavaScript     |         16 |          0 |          1 |         17 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\.eslintrc.cjs                                     | JavaScript     |         20 |          0 |          1 |         21 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\README.md                                         | Markdown       |          5 |          0 |          4 |          9 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\index.html                                        | HTML           |         19 |          0 |          8 |         27 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\package-lock.json                                 | JSON           |      6,107 |          0 |          1 |      6,108 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\package.json                                      | JSON           |         47 |          0 |          1 |         48 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\postcss.config.js                                 | JavaScript     |          6 |          0 |          1 |          7 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Account.jsx                             | JavaScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\AddBranch.jsx                           | JavaScript JSX |        105 |         10 |         14 |        129 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\AddVehicle.jsx                          | JavaScript JSX |        251 |          4 |         21 |        276 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Branches.jsx                            | JavaScript JSX |         87 |          0 |          4 |         91 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\BrowsingPage.jsx                        | JavaScript JSX |         43 |          1 |         15 |         59 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\CheckInPage.jsx                         | JavaScript JSX |         72 |          1 |          5 |         78 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\CheckOutPage.jsx                        | JavaScript JSX |         33 |          2 |          4 |         39 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\ConfirmationPage.jsx                    | JavaScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Customer.jsx                            | JavaScript JSX |        394 |          1 |         11 |        406 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Customers.jsx                           | JavaScript JSX |         59 |          0 |          6 |         65 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Dashboard.jsx                           | JavaScript JSX |         75 |         10 |          5 |         90 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\DashboardAnalysis.jsx                   | JavaScript JSX |         90 |          0 |          4 |         94 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Issue.jsx                               | JavaScript JSX |        175 |          1 |          8 |        184 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Issues.jsx                              | JavaScript JSX |         63 |          0 |          4 |         67 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\LocationMap.jsx                         | JavaScript JSX |        153 |          3 |          9 |        165 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Login.jsx                               | JavaScript JSX |        132 |          3 |         16 |        151 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\MakeReservationPage.jsx                 | JavaScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\RepresentativeDashboard.jsx             | JavaScript JSX |         97 |          0 |          9 |        106 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Reservation.jsx                         | JavaScript JSX |        221 |          0 |         17 |        238 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\ReservationDetailsPage.jsx              | JavaScript JSX |          8 |          0 |          0 |          8 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Reservations.jsx                        | JavaScript JSX |         61 |          0 |          5 |         66 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Root.jsx                                | JavaScript JSX |         45 |          5 |          7 |         57 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Signup.jsx                              | JavaScript JSX |        188 |          1 |          8 |        197 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Vehicle.jsx                             | JavaScript JSX |        515 |          5 |         29 |        549 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Vehicles.jsx                            | JavaScript JSX |         71 |          0 |          3 |         74 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\ViewReservationPage.jsx                 | JavaScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\branch.jsx                              | JavaScript JSX |        419 |          7 |         24 |        450 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Router.jsx                                    | JavaScript JSX |        146 |          4 |          6 |        156 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\BrowseHeader.jsx      | JavaScript JSX |         20 |          0 |          2 |         22 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\LoginButton.jsx       | JavaScript JSX |         10 |          0 |          4 |         14 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\Modal.jsx             | JavaScript JSX |         32 |          0 |          4 |         36 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\SearchBox.jsx         | JavaScript JSX |         60 |          0 |          8 |         68 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\SortFilterButtons.jsx | JavaScript JSX |        175 |         49 |         31 |        255 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\Vehicle.jsx           | JavaScript JSX |         28 |          0 |          3 |         31 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\browsingPage\VehicleList.jsx       | JavaScript JSX |         52 |          0 |          7 |         59 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\CheckVehicle.jsx           | JavaScript JSX |         66 |          0 |          6 |         72 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\ClientInfo.jsx             | JavaScript JSX |         75 |         20 |         12 |        107 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\MakeDeposit.jsx            | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\RentalAgreement.jsx        | JavaScript JSX |        179 |         20 |         31 |        230 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\sigCanvas.css              | CSS            |          6 |          0 |          0 |          6 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\csr\RefundForm.jsx                 | JavaScript JSX |         13 |          0 |          2 |         15 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\dashboard\ViewBranches.jsx         | JavaScript JSX |         18 |          0 |          1 |         19 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\dashboard\ViewReservations.jsx     | JavaScript JSX |         51 |          0 |          2 |         53 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\dashboard\ViewVehicles.jsx         | JavaScript JSX |         25 |          0 |          0 |         25 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\generalPurpose\Button.jsx          | JavaScript JSX |         13 |          0 |          2 |         15 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\generalPurpose\PaymentForm.jsx     | JavaScript JSX |        232 |         12 |         23 |        267 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\header\AccountDropdown.jsx         | JavaScript JSX |         50 |          2 |          8 |         60 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\header\Header.jsx                  | JavaScript JSX |         15 |          0 |          2 |         17 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\header\LoginButton.jsx             | JavaScript JSX |         12 |          0 |          4 |         16 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\location\Map.jsx                   | JavaScript JSX |        109 |          1 |          7 |        117 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\Addon.jsx              | JavaScript JSX |         50 |          5 |          4 |         59 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\AddonSelector.jsx      | JavaScript JSX |         48 |          1 |          6 |         55 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\BookingPayment.jsx     | JavaScript JSX |          6 |          0 |          2 |          8 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\Confirmation.jsx       | JavaScript JSX |         21 |          2 |          4 |         27 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\MakeReservation.jsx    | JavaScript JSX |         50 |          1 |         14 |         65 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ModifyReservation.jsx  | JavaScript JSX |         76 |          0 |          6 |         82 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ReservationDetails.jsx | JavaScript JSX |         82 |          3 |          8 |         93 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ReservationForm.jsx    | JavaScript JSX |         94 |          0 |         10 |        104 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\VehicleDetails.jsx     | JavaScript JSX |         17 |          1 |          1 |         19 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\VehicleViewer.jsx      | JavaScript JSX |         39 |          1 |          1 |         41 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ViewReservation.jsx    | JavaScript JSX |         80 |          2 |          7 |         89 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\swiper\recentlyViewed.jsx          | JavaScript JSX |         44 |          0 |         21 |         65 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\swiper\swiper.css                  | CSS            |         27 |          0 |          5 |         32 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\index.css                                     | CSS            |          3 |          0 |          0 |          3 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\main.jsx                                      | JavaScript JSX |          7 |          0 |          5 |         12 |
| c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\styles\Root.module.css                        | CSS            |          0 |          0 |          1 |          1 |
